Start,Length,Counts
1710974647.4877357,10.000001907348633,12
1710974657.4880502,10.000000953674316,3
1710974667.4883404,10.000001907348633,6
1710974677.488613,10.000001192092896,4
1710974687.488891,10.000000715255737,6
1710974697.4891644,10.000001192092896,7
1710974707.48944,10.000001907348633,6
1710974717.489716,10.000001430511475,6
1710974727.4899945,10.000001668930054,8
1710974737.4903088,10.000001430511475,7
1710974747.4905827,10.000001430511475,5
1710974757.490854,10.000000953674316,6
